Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
00-Signup and Account Activation,Chrome 113.0.0.0,,,2023-05-05 10:01:46,2023-05-05 10:04:10,2m - 24.081s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/01-Signup(Credentials Blank),Chrome 113.0.0.0,,,2023-05-05 10:01:47,2023-05-05 10:02:29,41.934s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-05 10:01:47,2023-05-05 10:01:55,7.975s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 113.0.0.0,,,2023-05-05 10:01:55,2023-05-05 10:02:18,22.511s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-05 10:02:18,2023-05-05 10:02:18,0.188s,PASSED
"click(findTestObject(""00-Signup and Activation/span_Sign up""))",Chrome 113.0.0.0,,,2023-05-05 10:02:18,2023-05-05 10:02:19,0.795s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 10:02:19,2023-05-05 10:02:22,3.074s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/div_Already have an account Log In""))",Chrome 113.0.0.0,,,2023-05-05 10:02:22,2023-05-05 10:02:22,0.481s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 10:02:22,2023-05-05 10:02:25,3.011s,PASSED
"verifyElementNotClickable(findTestObject(""00-Signup and Activation/button_Sign up""))",Chrome 113.0.0.0,,,2023-05-05 10:02:25,2023-05-05 10:02:26,0.434s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 10:02:26,2023-05-05 10:02:29,3.019s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/02-Signup(Wrong email),Chrome 113.0.0.0,,,2023-05-05 10:02:29,2023-05-05 10:02:46,17.846s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 10:02:29,2023-05-05 10:02:32,3.008s,PASSED
